id,totalCost,regionName,bedrooms,url,neighbourhood
892924928,1997,Santa Amélia,3,https://www.quintoandar.com.br/imovel/892924928/,NA
893771131,1995,Fernão Dias,3,https://www.quintoandar.com.br/imovel/893771131/,NA
893762573,1993,Fernão Dias,3,https://www.quintoandar.com.br/imovel/893762573/,NA
892934550,1976,São João Batista,3,https://www.quintoandar.com.br/imovel/892934550/,NA
893703658,1976,Diamante,4,https://www.quintoandar.com.br/imovel/893703658/,NA
893636405,1972,União,3,https://www.quintoandar.com.br/imovel/893636405/,NA
893764117,1962,São Francisco,3,https://www.quintoandar.com.br/imovel/893764117/,NA
893326226,1942,Heliópolis,3,https://www.quintoandar.com.br/imovel/893326226/,NA
893787055,1941,São Francisco,3,https://www.quintoandar.com.br/imovel/893787055/,NA
893324624,1909,Santa Cruz,3,https://www.quintoandar.com.br/imovel/893324624/,NA
893762432,1902,Santa Rosa,3,https://www.quintoandar.com.br/imovel/893762432/,NA
893768449,1894,São João Batista,3,https://www.quintoandar.com.br/imovel/893768449/,NA
893717069,1841,Diamante,3,https://www.quintoandar.com.br/imovel/893717069/,NA
893730473,1835,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893730473/,NA
893624682,1820,Eldorado,3,https://www.quintoandar.com.br/imovel/893624682/,NA
893771106,1812,São João Batista,3,https://www.quintoandar.com.br/imovel/893771106/,NA
893771109,1812,São João Batista,3,https://www.quintoandar.com.br/imovel/893771109/,NA
893753647,1802,Santa Cruz,3,https://www.quintoandar.com.br/imovel/893753647/,NA
893014298,1796,Manacás,3,https://www.quintoandar.com.br/imovel/893014298/,NA
893571650,1767,Alto Caiçaras,3,https://www.quintoandar.com.br/imovel/893571650/,NA
893754928,1764,Céu Azul,3,https://www.quintoandar.com.br/imovel/893754928/,NA
893763396,1719,Dom Bosco,3,https://www.quintoandar.com.br/imovel/893763396/,NA
893160853,1715,Heliópolis,3,https://www.quintoandar.com.br/imovel/893160853/,NA
893549694,1664,Lagoinha Leblon,3,https://www.quintoandar.com.br/imovel/893549694/,NA
893773442,1658,Santa Mônica,3,https://www.quintoandar.com.br/imovel/893773442/,NA
893328628,1629,Copacabana,3,https://www.quintoandar.com.br/imovel/893328628/,NA
893027409,1614,Santa Mônica,3,https://www.quintoandar.com.br/imovel/893027409/,NA
893730287,1585,Elizabeth,3,https://www.quintoandar.com.br/imovel/893730287/,NA
893436905,1562,Santa Mônica,3,https://www.quintoandar.com.br/imovel/893436905/,NA
893289274,1546,Copacabana,3,https://www.quintoandar.com.br/imovel/893289274/,NA
893011290,1542,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893011290/,NA
893264940,1531,Santa Terezinha,3,https://www.quintoandar.com.br/imovel/893264940/,NA
893146186,1498,São João Batista,3,https://www.quintoandar.com.br/imovel/893146186/,NA
893249374,1480,Santa Amélia,3,https://www.quintoandar.com.br/imovel/893249374/,NA
893067883,1476,Nova Gameleira,3,https://www.quintoandar.com.br/imovel/893067883/,NA
893746973,1464,Kennedy,3,https://www.quintoandar.com.br/imovel/893746973/,NA
